t build_seconds sweep_seconds
433 5.2499999999999997e-06 5.3458000000000002e-05
434 5.2920000000000003e-06 4.8167000000000001e-05
435 4.8339999999999998e-06 0.00012820900000000001
436 6.2920000000000001e-06 6.0041999999999999e-05
437 5.2499999999999997e-06 6.0333e-05
438 5.1250000000000001e-06 5.5584000000000002e-05
439 5.2499999999999997e-06 4.8250000000000001e-05
440 5.2089999999999996e-06 5.0584000000000002e-05
441 5.0839999999999999e-06 4.9957999999999998e-05
442 5.0420000000000002e-06 4.6375000000000002e-05
443 5.2499999999999997e-06 4.9833000000000002e-05
444 5.0830000000000003e-06 5.1792000000000002e-05
445 5.0409999999999997e-06 5.6582999999999997e-05
446 5.0409999999999997e-06 5.3959000000000003e-05
447 5.0830000000000003e-06 5.4666999999999997e-05
448 4.9579999999999998e-06 4.6666999999999999e-05
449 5.0420000000000002e-06 4.7624999999999999e-05
450 5.0000000000000004e-06 4.9209000000000003e-05
451 5.0420000000000002e-06 4.9082999999999997e-05
452 5.0409999999999997e-06 5.0417000000000002e-05
453 4.8749999999999999e-06 5.0917000000000001e-05
454 5.0000000000000004e-06 5.4416000000000002e-05
455 4.8749999999999999e-06 5.0708999999999998e-05
456 4.9169999999999997e-06 5.1582999999999997e-05
457 4.8330000000000001e-06 4.9792e-05
458 4.916e-06 5.1041999999999997e-05
459 5.0830000000000003e-06 5.4333000000000003e-05
460 5.0000000000000004e-06 5.2374999999999999e-05
461 4.9169999999999997e-06 5.0915999999999998e-05
462 5.0000000000000004e-06 5.4166999999999998e-05
463 5.0839999999999999e-06 5.3208999999999998e-05
464 5.1669999999999998e-06 5.4790999999999998e-05
465 5.0830000000000003e-06 5.1499999999999998e-05
466 5.0000000000000004e-06 4.9332999999999997e-05
467 5.0830000000000003e-06 4.9082999999999997e-05
468 4.8749999999999999e-06 0.000103708
469 5.1250000000000001e-06 6.8665999999999996e-05
470 5.1669999999999998e-06 5.5166e-05
471 5.0839999999999999e-06 5.7624999999999998e-05
472 5.0420000000000002e-06 5.1332999999999998e-05
473 5.1250000000000001e-06 4.8541999999999997e-05
474 4.7500000000000003e-06 4.6458000000000001e-05
475 1.1917e-05 5.9833000000000001e-05
